CAMPOS DOS GOYTACAZES;-21.723524;-41.308903;RJCAM15;
CANTAGALO;-21.9081;-42.25983;RJCTG02;
CANTAGALO;-21.977472;-42.361222;RJCTG01;
CARAPEBUS;-22.1892;-41.6617;RJMCE13;GETULIO VARGAS, 638 - CENTRO
CARDOSO MOREIRA;-21.4941;-41.6206;RJCMO01;
CARMO;-21.9333;-42.6099;RJCRM01;
CASIMIRO DE ABREU;-22.592;-41.9946;RJBSJ01;
CASIMIRO DE ABREU;-22.4738;-42.1997;RJCAS01;BR-101, KM 207, S/N - MORRO DA CAIXA D'AGUA
CASIMIRO DE ABREU;-22.480608;-42.016848;RJCASR2;
CASIMIRO DE ABREU;-22.4303;-42.0119;RJCASR1;
CASIMIRO DE ABREU;-22.4747;-42.0719;RJCASR3;
COMENDADOR LEVY GASPARIAN;-22.0329;-43.2071;RJCOG01;MARIA DE MELO DOS SANTOS, S/N - CENTRO
CONCEICAO DE MACABU;-22.09179;-41.86224;RJCMB02;
CONCEICAO DE MACABU;-22.08451;-41.86649;RJCMB01;
CONCEICAO DE MACABU;-22.9014;-43.1793;RJCENSZ;
CONCEICAO DE MACABU;-22.078187;-41.862725;RJCMB03;ESMERALDA ALFENAS DA FONSECA, S/N - PARAISO
CORDEIRO;-22.0271;-42.3649;RJCRD01;C, 160, LOTE 64 - CORDEIRO
DUAS BARRAS;-22.07825;-42.40887;RJDUS02;ARLINDO ALENCAR, S/N - CENTRO
DUAS BARRAS;-22.0527;-42.523;RJDUS01;EVANGELISTA ALVARES GOMES, S/N - CENTRO
DUQUE DE CAXIAS;-22.65793;-43.2863;RJDQC66;CREPUSCULO, 133 - VILA SAO JUDAS TADEU
DUQUE DE CAXIAS;-22.785845;-43.286329;RJDQCIC;
DUQUE DE CAXIAS;-22.71081;-43.30632;RJDQC78;
DUQUE DE CAXIAS;-22.75969;-43.29005;RJDQC77;
DUQUE DE CAXIAS;-22.77006;-43.29631;RJDQC76;
DUQUE DE CAXIAS;-22.776209;-43.314529;RJDQC75;
DUQUE DE CAXIAS;-22.78344;-43.32427;RJDQC74;
DUQUE DE CAXIAS;-22.722519;-43.286689;RJDQC71;WASHINGTON LUIZ, KM 113,7 - VILA ACTURA
DUQUE DE CAXIAS;-22.68265;-43.29993;RJDQC80;CARMEM MIRANDA, S/N - LOTE 13, QUADRA 24 B - CHACARAS RIO-PETROPOLIS
DUQUE DE CAXIAS;-22.78242;-43.31008;RJDQC67;
DUQUE DE CAXIAS;-22.66771;-43.24639;RJDQC81;HAIA, S/N - VILA URUSSAY
DUQUE DE CAXIAS;-22.75266;-43.2801;RJDQC65;
